Annual_Income,Employment_Length,Debt_to_Income,Credit_Score,Loan_Amount,Loan_Term,Income_to_Loan_Ratio,Monthly_Income,Est_Monthly_Debt,Disposable_Income,Home_Ownership_MORTGAGE,Home_Ownership_OWN,Home_Ownership_RENT
36432.03,28,4.5,708.0,19400,36,1.8779396907216495,3036.0025,136.6201125,2899.3823875,1.0,0.0,0.0
92237.7,39,20.02,650.0,37900,60,2.4337124010554088,7686.474999999999,1538.8322949999997,6147.642705,0.0,0.0,1.0
128561.9,27,25.41,643.0,7200,36,17.855819444444442,10713.491666666667,2722.2982325,7991.193434166667,0.0,1.0,0.0
102784.55,29,4.65,730.0,42700,36,2.407132318501171,8565.379166666668,398.2901312500001,8167.089035416668,1.0,0.0,0.0
140239.57,27,8.37,628.0,35800,60,3.917306424581006,11686.630833333335,978.1710007500001,10708.459832583334,0.0,0.0,1.0
8423.66,24,21.95,652.0,9100,60,0.9256769230769231,701.9716666666667,154.08278083333335,547.8888858333333,0.0,1.0,0.0
57686.42,13,25.49,691.0,42600,36,1.3541413145539907,4807.201666666667,1225.3557048333332,3581.8459618333336,1.0,0.0,0.0
37395.23,17,35.74,634.0,49000,36,0.7631679591836735,3116.269166666667,1113.7546001666667,2002.5145665000002,0.0,0.0,1.0
91440.25,34,29.4,656.0,45400,36,2.014102422907489,7620.020833333333,2240.2861249999996,5379.734708333333,0.0,0.0,1.0
68984.97,22,0.17,689.0,33800,60,2.0409754437869823,5748.7475,9.772870750000001,5738.97462925,1.0,0.0,0.0
21752.41,33,22.72,625.0,33100,36,0.65717250755287,1812.7008333333333,411.8456293333333,1400.855204,0.0,1.0,0.0
37877.88,28,20.52,669.0,12800,36,2.959209375,3156.49,647.711748,2508.778252,1.0,0.0,0.0
39657.38,1,20.23,680.0,46200,36,0.8583848484848484,3304.7816666666663,668.5573311666666,2636.2243354999996,1.0,0.0,0.0
163756.4,22,18.58,633.0,13300,36,12.312511278195489,13646.366666666667,2535.4949266666667,11110.87174,1.0,0.0,0.0
115919.59,12,20.96,693.0,30100,36,3.851149169435216,9659.965833333334,2024.728838666667,7635.236994666667,0.0,0.0,1.0
167837.54,18,26.17,696.0,37100,36,4.523922911051213,13986.461666666668,3660.2570181666674,10326.204648500001,0.0,1.0,0.0
162952.45,23,12.84,676.0,39500,36,4.125378481012659,13579.370833333334,1743.591215,11835.779618333334,0.0,0.0,1.0
20742.84,2,1.03,680.0,5000,36,4.148568,1728.57,17.804271,1710.765729,0.0,0.0,1.0
103724.3,29,11.8,690.0,28000,36,3.704439285714286,8643.691666666668,1019.9556166666669,7623.73605,0.0,0.0,1.0
64311.6,37,8.0,665.0,35800,60,1.796413407821229,5359.3,428.744,4930.5560000000005,0.0,0.0,1.0
66596.83,30,13.35,731.0,1800,36,36.99823888888889,5549.735833333333,740.88973375,4808.846099583333,0.0,0.0,1.0
