Annual_Income,Employment_Length,Debt_to_Income,Credit_Score,Loan_Amount,Loan_Term,Home_Ownership,Default
76753.72,16,26.0,718.0,18100,60,RENT,0
55874.75,30,15.45,655.0,27600,36,OWN,1
82771.93,33,28.76,657.0,2400,36,RENT,0
128221.55,37,37.97,729.0,41200,36,RENT,0
53259.07,36,15.12,688.0,9900,60,MORTGAGE,1
53259.5,3,27.8,662.0,19400,60,RENT,1
131874.55,1,13.45,702.0,35200,60,RENT,0
87879.11,11,30.27,669.0,36600,36,RENT,0
47347.19,34,17.53,711.0,6700,36,RENT,0
78533.46,5,34.48,605.0,26100,36,RENT,1
47490.79,7,17.22,656.0,7400,36,MORTGAGE,0
47435.92,20,11.02,645.0,10200,36,RENT,0
67574.17,34,16.66,688.0,1600,36,RENT,0
23002.54,14,17.77,595.0,3500,36,MORTGAGE,0
25274.24,6,22.36,728.0,6700,60,MORTGAGE,0
45200.17,14,16.71,627.0,19400,60,MORTGAGE,0
36083.26,5,22.45,713.0,33000,60,RENT,0
70061.15,16,22.63,703.0,34900,36,RENT,0
38024.58,3,15.73,672.0,45800,36,RENT,1
29550.27,21,23.28,668.0,29600,36,MORTGAGE,0
124595.08,31,14.14,592.0,4100,36,MORTGAGE,0
53482.61,21,40.0,643.0,6300,60,MORTGAGE,0
61930.25,26,22.99,833.0,17100,60,RENT,0
29366.97,14,26.12,666.0,7500,60,MORTGAGE,0
45606.64,21,18.05,685.0,14100,36,MORTGAGE,0
63288.65,27,12.79,575.0,49400,36,MORTGAGE,0
33674.74,37,28.36,646.0,34000,36,OWN,0
72247.21,8,23.3,656.0,32800,60,OWN,0
44341.69,33,0.0,627.0,29700,36,RENT,0
51748.62,35,39.26,696.0,6100,36,MORTGAGE,0
44318.02,8,27.38,643.0,21900,36,RENT,0
151166.79,14,16.19,652.0,23500,36,MORTGAGE,0
59471.43,19,26.06,596.0,20100,60,RENT,1
35282.58,7,24.22,604.0,33400,36,RENT,1
90334.29,27,24.95,629.0,10300,36,MORTGAGE,0
32518.95,18,11.29,641.0,16000,60,RENT,1
66465.07,15,20.71,647.0,7900,36,RENT,1
22475.14,10,23.02,619.0,29100,60,RENT,0
30819.63,7,32.32,573.0,25800,60,RENT,0
66067.39,32,21.03,622.0,18400,36,MORTGAGE,0
86615.43,9,24.31,684.0,13200,36,OWN,1
65230.61,17,10.9,745.0,12800,60,MORTGAGE,0
56510.17,34,20.67,749.0,34900,36,MORTGAGE,0
51505.72,2,28.67,767.0,38000,36,MORTGAGE,0
28587.9,39,13.16,668.0,25200,60,MORTGAGE,0
41776.03,26,16.12,660.0,39300,36,RENT,0
47556.83,27,10.36,697.0,41800,36,MORTGAGE,0
101575.85,5,6.45,663.0,6800,60,RENT,0
71097.62,13,11.39,714.0,42300,60,RENT,0
24797.05,6,25.62,644.0,34500,36,MORTGAGE,1
70406.58,9,17.54,687.0,3500,60,MORTGAGE,0
49387.81,14,11.43,630.0,23100,36,RENT,0
42682.27,30,41.79,711.0,34900,36,RENT,0
81294.87,28,12.98,627.0,48500,36,RENT,0
100257.76,16,26.25,649.0,47300,36,MORTGAGE,0
95381.51,28,23.33,663.0,29500,36,OWN,0
39355.51,14,22.48,620.0,49000,36,MORTGAGE,0
51297.32,25,1.69,695.0,42600,36,MORTGAGE,1
70659.77,11,32.7,680.0,5700,60,RENT,0
97516.08,24,23.19,631.0,15600,36,MORTGAGE,0
47118.12,40,29.19,639.0,18100,60,RENT,0
54566.23,4,31.39,675.0,16800,36,OWN,0
34435.13,3,37.14,669.0,33200,60,MORTGAGE,0
32922.01,40,10.02,610.0,39900,36,RENT,0
89882.89,30,12.81,679.0,11100,36,RENT,0
117962.26,2,14.18,715.0,33400,36,RENT,0
57756.72,2,11.34,654.0,46500,36,RENT,0
